Name	Acronym	Taxonomic Status (Family or Genus)	Recommended Biosafety Level	Basis of Rating	Antigenic Group	HEPA Filtration on Lab Exhaust
Abras 	ABRV 	Orthobunvavarus 	2	A7 	Patois 	No
Absettarov 	ABSV 	Flavivirus 	4	A4 	B^f 	Yes
Abu Hammad 	AHV 	Nairovirus 	2	S 	Dera Ghazi Khan 	No
Acado 	ACDV 	Orbivirus 	2	S 	Corriparta 	No
Acara 	ACAV 	Orthobunyavirus 	2	S 	Capim 	No
Adelaide River 	ARV 	Lyssavirus 	2	IE 	Bovine Ephemeral Fever 	No
African Horse ickness 	AHSV 	Orbivirus 	3^c 	A1 	African Horsesickness 	Yes
African SwineFever 	ASFV 	Asfivirus 	3^c 	IE 	Asfivirus 	Yes
Aguacate 	AGUV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Aino 	AINOV 	Orthobunyavirus 	2	S 	Simbu 	No
Akabane 	AKAV 	Orthobunyavirus 	3^c 	S 	Simbu 	Yes
Alenquer 	ALEV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Alfuy 	ALFV 	Flavivirus 	2	S 	B^f 	No
Alkhumra 	ALKV 	Flavivirus 	4	A4 	B^f 	Yes
Allpahuayo 	ALLPV 	Arenavirus 	3	IE 	Tacaribe 	No
Almeirim 	ALMV 	Orbivirus 	2	IE 	Changuinola 	No
Almpiwar 	ALMV 	Rhabdoviridae 	2	S 		No
Altamira 	ALTV 	Orbivirus 	2	IE 	Changuinola 	No
Amapari 	AMAV 	Arenavirus 	2	A5 	Tacaribe 	No
Ambe 	AMBEV 	Phlebovirus 	2	IE 		No
Ananindeua 	ANUV 	Orthobunyavirus 	2	A7 	Guama 	No
Andasibe 	ANDV 	Orbivirus 	2	A7 		No
Andes 	ANDV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Anhanga 	ANHV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Anhembi 	AMBV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Anopheles A 	ANAV 	Orthobunyavirus 	2	S 	Anopheles A 	No
Anopheles B 	ANBV 	Orthobunyavirus 	2	S 	Anopheles B 	No
Antequera 	ANTV 	Bunyaviridae 	2	IE 	Resistencia 	No
Apeu 	APEUV 	Orthobunyavirus 	2	S 	C^f 	No
Apoi 	APOIV 	Flavivirus 	2	S 	B^f 	No
Araguari 	ARAV 	Unassigned 	3	IE 		No
Aransas Bay 	ABV 	Bunyaviridae 	2	IE 	UPOLU 	No
Arbia 	ARBV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Arboledas 	ADSV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Aride 	ARIV 	Unassigned 	2	S 		No
Ariquemes 	ARQV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Arkonam 	ARKV 	Orbivirus 	2	S 	leri 	No
Armero 	ARMV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Aroa 	AROAV 	Flavivirus 	2	S 	B^f 	No
Aruac 	ARUV 	Rhabdoviridae 	2	S 		No
Arumateua 	ARMTV 	Orthobunyavirus 	2	A7 		No
Arumowot 	AMTV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Aura 	AURAV 	Alphavirus 	2	S 	A^f 	No
Avalon 	AVAV 	Nairovirus 	2	S 	Sakhalin 	No
Babahoyo 	BABV 	Orthobunyavirus 	2	A7 	Patois 	No
Babanki 	BBKV 	Alphavirus 	2	A7 	A^f 	No
Bagaza 	BAGV 	Flavivirus 	2	S 	B^f 	No
Bahig 	BAHV 	Orthobunyavirus 	2	S 	Tete 	No
Bakau 	BAKV 	Orthobunyavirus 	2	S 	Bakau 	No
Baku 	BAKUV 	Orbivirus 	2	S 	Kemerovo 	No
Bandia 	BDAV 	Nairovirus 	2	S 	Qalyub 	No
Bangoran 	BGNV 	Rhabdoviridae 	2	S 		No
Bangui 	BGIV 	Bunyaviridae 	2	S 		No
Banzi 	BANV 	Flavivirus 	2	S 	B^f 	No
Barmah Forest 	BFV 	Alphavirus 	2	A7 	A^f 	No
Barranqueras 	BQSV 	Bunyaviridae 	2	IE 	Resistencia 	No
Barur 	BARV 	Rhabdoviridae 	2	S 	Kern Canyon 	No
Batai 	BATV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Batama 	BMAV 	Orthobunyavirus 	2	A7 	Tete 	No
Batken 	BKNV 	Thogotovirus 	2	IE 		No
Bauline 	BAUV 	Orbivirus 	2	S 	Kemerovo 	No
Bear Canyon 	BRCV 	Arenavirus 	3	A7 		No
Bebaru 	BEBV 	Alphavirus 	2	S 	A^f 	No
Belem 	BLMV 	Bunyaviridae 	2	IE 		No
Belmont 	ELV 	Bunyaviridae 	2	S 		No
Belterra 	BELTV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Benevides 	BENV 	Orthobunyavirus 	2	A7 	Capim 	No
Benfica 	BENV 	Orthobunyavirus 	2	A7 	Capim 	No
Bermejo 	BMJV 	Hantavirus 	3	IE 	Hantaan 	No
Berrimah 	BRMV 	Lyssavirus 	2	IE 	Bovine Ephemeral Fever	No
Beritoga 	BERV 	Orthobunyavirus 	2	S 	Guama 	No
Bhanja 	BHAV 	Bunyaviridae 	3	S 	Bhanja 	No
Bimbo 	BBOV 	Rhabdoviridae 	2	IE 		No
Bimitti 	BIMV 	Orthobunyavirus 	2	S 	Guama 	No
Birao 	BIRV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Bluetoungue (exotic serotypes) 	BTV 	Orbivirus 	3^c 	S 	Bluetongue 	No
Bluetoungue (non-exotic) 	BTV 	Orbivirus 	2^c 	S 	Bluetongue 	No
Bobaya 	BOBV 	Bunyaviridae 	2	IE 		No
Bobia 	BIAV 	Orthobunyavirus 	2	IE 	Olifantsylei 	No
Boraceia 	BORV 	Orthobunyavirus 	2	S 	Anopheles B 	No
Botambi 	BOTV 	Orthobunyavirus 	2	S 	Olifantsylei 	No
Boteke 	BTKV 	Vesiculovirus 	2	S 	Vesicular Stomatitis 	No
Bouboui 	BOUV 	Flavivirus 	2	S 	B^f 	No
Bovine phemeral Fever 	BEFV 	Lyssavirus 	3^c 	A1 	Bovine Ephemeral Fever	No
Bozo 	BOZOV 	Orthobunyavirus 	2	A7 	Bunyamwera 	No
Breu Branco 	BRBV 	Orbivirus 	2	A7 		No
Buenaventura 	BUEV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Bujaru 	BUJV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Bunyamwera 	BUNV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Bunyip Creek 	BCV 	Orbivirus 	2	S 	Palyam 	No
Burg El Arab 	BEAV 	Rhabdoviridae 	2	S 	Matariva 	No
Bushbush 	BSBV 	Orthobunyavirus 	2	S 	Capim 	No
Bussuquara 	BSQV 	Flavivirus 	2	S 	B^f 	No
Buttonwillow 	BUTV 	Orthobunyavirus 	2	S 	Simbu 	No
Bwamba 	BWAV 	Orthobunyavirus 	2	S 	Bwamba 	No
Cabassou 	CABV 	Alphavirus 	3	IE 	A^f 	Yes
Cacao 	CACV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Cache Valley 	CVV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Cacipacore 	CPCV 	Flavivirus 	2	IE 	B^f 	No
Caimito 	CAIV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Calchaqui 	CQIV 	Vesiculovirus 	2	A7 	Vesicular Stomatitis	No
California Encephalitis 	CEV 	Orthobunyavirus 	2	S 	California 	No
Calovo 	CVOV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Cananeia 	CNAV 	Orthobunyavirus 	2	IE 	GUAMA 	No
Candiru 	CDUV 	Phlebovirus 	2	S 	Phlebotomus Fever 	No
Caninde 	CANV 	Orbivirus 	2	IE 	Changuinola 	No
Cano Delgadito 	CADV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Cape Wrath 	CWV 	Orbivirus 	2	S 	Kemerovo 	No
Capim 	CAPV 	Orthobunyavirus 	2	S 	Capim 	No
Caraipe 	CRPV 	Orthobunyavirus 	2	A7 		No
Carajas 	CRJV 	Vesiculovirus 	2	A7 	Vesicular Stomatitis	No
Caraparu 	CARV 	Orthobunyavirus 	2	S 	C^f 	No
Carey Island 	CIV 	Flavivirus 	2	S 	B^f 	No
Catu 	CATUV 	Orthobunyavirus 	2	S 	Guama 	No
Chaco 	CHOV 	Rhabdoviridae 	2	S 	Timbo 	No
Chagres 	CHGV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Chandipura 	CHPV 	Vesiculovirus 	2	S 	Vesicular Stomatitis	No
Changuinola 	CGLV 	Orbivirus 	2	S 	Changuinola 	No
Charleville 	CHVV 	Lyssavirus 	2	S 	Rab 	No
Chenuda 	CNUV 	Orbivirus 	2	S 	Kmerovo 	No
Chikungunya 	CHIKV 	Alphavirus 	3	S 	A^f 	Yes
Chilibre 	CHIV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Chim 	CHIMV 	Bunyaviridae 	2	IE 		No
Chobar Gorge 	CGV 	Orbivirus 	2	S 	Chobar Gorge 	No
Clo Mor 	CMV 	Nairovirus 	2	S 	Sakhalin 	No
Coastal Plains 	CPV 	Lyssavirus 	2	IE 	Tibrogargan 	No
Cocal 	COCV 	Vesiculovirus 	2	A3 	Vesicular Stomatitis	No
Codajas 	CDJV 	Orbivirus 	2	A7 		No
Colorado Tick Fever 	CTFV 	Coltivirus 	2	S 	Colorado TickFever 	No
Congo-Crimean Hemorrhagic Fever	CCHFV 	Nairovirus 	4	A6 	CCHF 	Yes
Connecticut 	CNTV 	Rhabdoviridae 	2	IE 	Sawgrass 	No
Corfou 	CFUV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Corriparta 	CORV 	Orbivirus 	2	S 	Corriaparta 	No
Cotia 	CPV 	Poxviridae 	2	S 		No
Cowbone Ridge 	CRV 	Flavivirus 	2	S 	B^f 	No
Csiro Village 	CVGV 	Orbivirus 	2	S 	Palyam 	No
Cuiaba 	CUIV 	Rhabdoviridae 	2	S 		No
Curionopolis 	CRNPV 	Rhabdoviridae 	2	A7 		No
Dabakala 	DABV 	Orthobunyavirus 	2	A7 	Olifantsylei 	No
D’Aguilar 	DAGV 	Orbivirus 	2	S 	Palyam 	No
Dakar Bat Virus 	DBV 	Flavivirus 	2	S 	B^f 	No
Deer Tick Virus 	DRTV 	Flavivirus 	3	A7 		No
Dengue Virus ype 1 	DENV-1 	Flavivirus 	2	S 	B^f 	No
Dengue Virus Type 2 	DENV-2 	Flavivirus 	2	S 	B^f 	No
Dengue Virus Type 3 	DENV-3 	Flavivirus 	2	S 	B^f 	No
Dengue Virus Type 4 	DENV-4 	Flavivirus 	2	S 	B^f 	No
Dera Ghazi Khan 	DGKV 	Nairovirus 	2	S 	Dera Ghazi Khan 	No
Dobrava-elgrade 	DOBV 	Hantavirus 	3^a 	IE 		No
Dhori 	DHOV 	Orthomyxoviridae 	2	S 		No
Douglas 	DOUV 	Orthobunyavirus 	3	IE 	Simbu 	No
Durania 	DURV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Dugbe 	DUGV 	Nairovirus 	3	S 	Nairobi SheepDisease 	No
Eastern Equine ncephalitis 	EEEV 	Alphavirus 	3	S 	A 	No
Ebola (IncludingReston) 	EBOV 	Filovirus 	4	S 	EBO 	Yes
Edge Hill 	EHV 	Flavivirus 	2	S 	B^f 	No
Enseada 	ENSV 	Bunyaviridae 	3	IE 		No
Entebbe Bat 	ENTV 	Flavivirus 	2	S 	B^f 	No
Epizootic Hemorrhagic Disease 	EHDV 	Orbivirus 	2	S 	Epizootic Hemorrhagic Disease 	No
Erve 	ERVEV 	Bunyaviridae 	2	S 	Thiafora 	No
Estero Real 	ERV 	Orthobunyavirus 	2	IE 	Patois 	No
Eubenangee 	EUBV 	Orbivirus 	2	S 	Eubenangee 	No
Everglades 	EVEV 	Alphavirus 	3	S 	A^f 	Yes
Eyach 	EYAV 	Coltivirus 	2	S 	Colorado TickFever 	No
Farmington 	FRMV 	Vesiculovirus 	2	A7 		No
Flanders 	FLAV 	Rhabdoviridae 	2	S 	Hart Park 	No
Flexal 	FLEV 	Arenavirus 	3	S 	Tacaribe 	No
Fomede 	FV 	Orbivirus 	2	A7 	Chobar Gorge 	No
Forecariah 	FORV 	Bunyaviridae 	2	A7 	Bhanja 	No
Fort Morgan 	FMV 	Alphavirus 	2	S 	A^f 	No
Fort Sherman 	FSV 	Orthobunyavirus 	2	A7 	Bunyamwera 	No
Frijoles 	FRIV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Gabek Forest 	GFV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Gadgets Gully 	GGYV 	Flavivirus 	2	IE 	B^f 	No
Gamboa 	GAMV 	Orthobunyavirus 	2	S 	Gamboa 	No
Gan Gan 	GGV 	Bunyaviridae 	2	A7 	Mapputta 	No
Garba 	GARV 	Rhabdoviridae 	2	IE 	Matariva 	No
Garissa 	GRSV 	Orthobunyavirus 	3	A7 	Bunyamwera 	No
Germiston 	GERV 	Orthobunyavirus 	3		Bunyamwera 	Yes
Getah 	GETV 	Alphavirus 	2	A1 	A^f 	No
Gomoka 	GOMV 	Orbivirus 	2	S 	Ieri 	No
Gordil 	GORV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Gossas 	GOSV 	Rhabdoviridae 	2	S 		No
Grand Arbaud 	GAV 	Phlebovirus 	2	S 	Uukuniemi 	No
Gray Lodge 	GLOV 	Vesiculovirus 	2	IE 	Vesicular Stomatitis	No
Great Island 	GIV 	Orbivirus 	2	S 	Kemerovo 	No
Guajara 	GJAV 	Orthobunyavirus 	2	S 	Capim 	No
Guama 	GMAV 	Orthobunyavirus 	2	S 	Guama 	No
Guanarito 	GTOV 	Arenavirus 	4	A4 	Tacaribe 	Yes
Guaratuba 	GTBV 	Orthobunyavirus 	2	A7 	Guama 	No
Guaroa 	GROV 	Orthobunyavirus 	2	S 	California 	No
Gumbo Limbo 	GLV 	Orthobunyavirus 	2	S 	C^f 	No
Gurupi 	GURV 	Orbivirus 	2	IE 	Changuinola 	No
Hantaan 	HTNV 	Hantavirus 	3^a 	S 	Hantaan 	No
Hanzalova 	HANV 	Flavivirus 	4	A4 	B^f 	Yes
Hart Park 	HPV 	Rhabdoviridae 	2	S 	Hart Park 	No
Hazara 	HAZV 	Nairovirus 	2	S 	CHF-Congo 	No
Highlands J 	HJV 	Alphavirus 	2	S 	A^f 	No
Huacho 	HUAV 	Orbivirus 	2	S 	Kemerovo 	No
Hughes 	HUGV 	Nairovirus 	2	S 	Hughes 	No
Hypr 	HYPRV 	Flavivirus 	4	S 	B^f 	Yes
Iaco 	IACOV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Ibaraki 	IBAV 	Orbivirus 	2	IE 	Epizootic Hemorrhagic Disease 	Yes
Icoaraci 	ICOV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Ieri 	IERIV 	Orbivirus 	2	S 	Ieri 	No
Ife 	IFEV 	Orbivirus b 	2	IE 		No
Iguape 	IGUV 	Flavivirus 	2	A7 	B^f 	No
Ilesha 	ILEV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Ilheus 	ILHV 	Flavivirus 	2	S 	B^f 	No
Ingwavuma 	INGV 	Orthobunyavirus 	2	S 	Simbu 	No
Inhangapi 	INHV 	Rhabdoviridae 	2	IE 		No
Inini 	INIV 	Orthobunyavirus 	2	IE 	Simbu 	No
Inkoo 	INKV 	Orthobunyavirus 	2	S 	California 	No
Ippy 	IPPYV 	Arenavirus 	2	S 	Tacaribe 	No
Iriri 	IRRV 	Rhabdoviridae 	2	A7 		No
Irituia 	IRIV 	Orbivirus 	2	S 	Changuinola 	No
Isfahan 	ISFV 	Vesiculovirus 	2	S 	Vesicular Stomatitis	No
Israel Turkey Meningitis 	ITV 	Flavivirus	2 with 3 practices 	S 	B f	No
Issyk-Kul 	ISKV 	Bunyaviridae 	3	IE 		No
Itacaiunas 	ITCNV 	Rhabdoviridae 	2	A7 		No
Itaituba 	ITAV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Itaporanga 	ITPV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Itaqui 	ITQV 	Orthobunyavirus 	2	S 	C^f 	No
Itimirim 	ITIV 	Orthobunyavirus 	2	IE 	Guama 	No
Itupiranga 	ITUV 	Orbivirus b 	2	IE 		No
Ixcanal 	IXCV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Jacareacanga 	JACV 	Orbivirus 	2	IE 	Corriparta 	No
Jacunda 	JCNV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Jamanxi 	JAMV 	Orbivirus 	2	IE 	Changuinola 	No
Jamestown Canyon 	JCV 	Orthobunyavirus 	2	S 	California 	No
Japanaut 	JAPV 	Orbivirus b 	2	S 		No
Japanese Encephalitis 	JEV 	Flavivirus 	3^c 	S 	B^f 	No
Jari 	JARIV 	Orbivirus 	2	IE 	Changuinola 	No
Jatobal 	JTBV 	Orthobunyavirus 	2	A7 		No
Jerry Slough 	JSV 	Orthobunyavirus 	2	S 	California 	No
Joa 	JOAV 	Phlebovirus 	2	A7 		No
Johnston Atoll 	JAV 	Unassigned 	2	S 	Quaranfil 	No
Joinjakaka 	JOIV 	Rhabdoviridae 	2	S 		No
Juan Diaz 	JDV 	Orthobunyavirus 	2	S 	Capim 	No
Jugra 	JUGV 	Flavivirus 	2	S 	B^f 	No
Junin 	JUNV 	Arenavirus 	4	A6 	Tacaribe 	Yes
Jurona 	JURV 	Vesiculovirus 	2	S 	Vesicular Stomatitis	No
Juruaca 	JRCV 	Picornavirus b 	2	A7 		No
Jutiapa 	JUTV 	Flavivirus 	2	S 	B^f 	No
Kadam 	KADV 	Flavivirus 	2	S 	B^f 	No
Kaeng Khoi 	KKV 	Orthobunyavirus b 	2	S 		No
Kaikalur 	KAIV 	Orthobunyavirus 	2	S 	Simbu 	No
Kairi 	KRIV 	Orthobunyavirus 	2	A1 	Bunyamwera 	No
Kaisodi 	KSOV 	Bunyaviridae 	2	S 	Kaisodi 	No
Kamese 	KAMV 	Rhabdoviridae 	2	S 	Hart Park 	No
Kamiti River 	KRV 	Flavivirus 	2	A7 		No
Kammavanpettai 	KMPV 	Orbivirus 	2	S 		No
Kannamangalam 	KANV 	Rhabdoviridae 	2	S 		No
Kao Shuan 	KSV 	Nairovirus 	2	S 	Dera Ghazi Khan 	No
Karimabad 	KARV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Karshi 	KSIV 	Flavivirus 	2	S 	B^f 	No
Kasba 	KASV 	Orbivirus 	2	S 	Palyam 	No
Kedougou 	KEDV 	Flavivirus 	2	A7 	B^f 	No
Kemerovo 	KEMV 	Orbivirus 	2	S 	Kemerovo 	No
Kern Canyon 	KCV 	Rhabdoviridae 	2	S 	Kern Canyon 	No
Ketapang 	KETV 	Orthobunyavirus 	2	S 	Bakau 	No
Keterah 	KTRV 	Bunyaviridae 	2	S 		No
Keuraliba 	KEUV 	Rhabdoviridae 	2	S 	Le Dantec 	No
Keystone 	KEYV 	Orthobunyavirus 	2	S 	California 	No
Khabarovsk 	KHAV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Khasan 	KHAV 	Nairovirus 	2	IE 	CCHF 	No
Kimberley 	KIMV 	Lyssavirus 	2	A7 	Bovine Ephemeral Fever	No
Kindia 	KINV 	Orbivirus 	2	A7 	Palyam 	No
Kismayo 	KISV 	Bunyaviridae 	2	S 	Bhanja 	No
Klamath 	KLAV 	Vesiculovirus 	2	S 	Vesicular Stomatitis	No
Kokobera 	KOKV 	Flavivirus 	2	S 	B^f 	No
Kolongo 	KOLV 	Lyssavirus 	2	S 	Rab 	No
Koongol 	KOOV 	Orthobunyavirus 	2	S 	Koongol 	No
Kotonkan 	KOTV 	Lyssavirus 	2	S 	Rab 	No
Koutango 	KOUV 	Flavivirus 	3	S 	B^f 	No
Kowanyama 	KOWV 	Bunyaviridae 	2	S 		No
Kumlinge 	KUMV 	Flavivirus 	4	A4 	B^f 	Yes
Kunjin 	KUNV 	Flavivirus 	2	S 	B^f 	No
Kununurra 	KNAV 	Rhabdoviridae 	2	S 		No
Kwatta 	KWAV 	Vesiculovirus 	2	S 	Vesicular Stomatitis	No
Kyasanur Forest Disease 	KFDV 	Flavivirus 	4	S 	B^f 	Yes
Kyzylagach 	KYZV 	Alphavirus 	2	IE 	A^f 	No
La Crosse 	LACV 	Orthobunyavirus 	2	S 	California 	No
Lagos Bat 	LBV 	Lyssavirus 	2	S 	Rab 	No
Laguna Negra 	LANV 	Hantavirus 	3^a 	IE 		No
La Joya 	LJV 	Vesiculovirus 	2	S 	Vesicular Stomatitis	No
Lake Clarendon 	LCV 	Orbivirus b 	2	IE 		No
Landjia 	LJAV 	Rhabdoviridae 	2	S 		No
Langat 	LGTV 	Flavivirus 	2	S 	B^f 	No
Lanjan 	LJNV 	Bunyaviridae 	2	S 	Kaisodi 	No
Las Maloyas 	LMV 	Orthobunyavirus 	2	A7 	Anopheles A 	No
Lassa 	LASV 	Arenavirus 	4	S 	Tacaribe 	Yes
Latino 	LATV 	Arenavirus 	2	A5 	Tacaribe 	No
Lebombo 	LEBV 	Orbivirus 	2	S 		No
Lechiguanas 	LECHV 	Hantavirus 	3^a 	IE 	Hantaan 	No
