Name	Acronym	Taxonomic Status (Family or Genus)	Recommended Biosafety Level	Basis of Rating	Antigenic Group	HEPA Filtration on Lab Exhaust
Le Dantec 	LDV 	Rhabdoviridae 	2	S 	Le Dantec 	No
Lednice 	LEDV 	Orthobunyavirus 	2	A7 	Turlock 	No
Lipovnik 	LIPV 	Orbivirus 	2	S 	Kemerovo 	No
Llano Seco 	LLSV 	Orbivirus 	2	IE 	Umatilla 	No
Lokern 	LOKV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Lone Star 	LSV 	Bunyaviridae 	2	S 		No
Louping Ill 	LIV 	Flavivirus 	3^c 	S 	B^f 	Yes
Lukuni 	LUKV 	Orthobunyavirus 	2	S 	Anopheles A 	No
Macaua 	MCAV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Machupo 	MACV 	Arenavirus 	4	S 	Tacaribe 	Yes
Madrid 	MADV 	Orthobunyavirus 	2	S 	C^f 	No
Maguari 	MAGV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Mahogany Hammock 	MHV 	Orthobunyavirus 	2	S 	Guama 	No
Main Drain 	MDV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Malakal 	MALV 	Lyssavirus 	2	S 	Bovine Ephemeral Fever	No
Manawa 	MWAV 	Phlebovirus 	2	S 	Uukumiemi 	No
Manitoba 	MNTBV 	Rhabdoviridae 	2	A7 		No
Manzanilla 	MANV 	Orthobunyavirus 	2	S 	Simbu 	No
Mapputta 	MAPV 	Bunyaviridae 	2	S 	Mapputta 	No
Maporal 	MPRLV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Maprik 	MPKV 	Bunyaviridae 	2	S 	Mapputta 	No
Maraba 	MARAV 	Vesiculovirus 	2	A7 		No
Marajo 	MRJV 	Unassigned 	2	IE 		No
Marburg 	MARV 	Filovirus 	4	S 	Marburg 	Yes
Marco 	MCOV 	Rhabdoviridae 	2	S 		No
Mariquita 	MRQV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Marituba 	MTBV 	Orthobunyavirus 	2	S 	C^f 	No
Marrakai 	MARV 	Orbivirus 	2	S 	Palyam 	No
Matariya 	MTYV 	Rhabdoviridae 	2	S 	Matariva 	No
Matruh 	MTRV 	Orthobunyavirus 	2	S 	Tete 	No
Matucare 	MATV 	Orbivirus 	2	S 		No
Mayaro 	MAYV 	Alphavirus 	2	S 	A^f 	No
Mboke 	MBOV 	Orthobunyavirus 	2	A7 	Bunyamwera 	No
Meaban 	MEAV 	Flavivirus 	2	IE 	B^f 	No
Melao 	MELV 	Orthobunyavirus 	2	S 	California 	No
Mermet 	MERV 	Orthobunyavirus 	2	S 	Simbu 	No
Middelburg 	MIDV 	Alphavirus 	2	A1 	A^f 	No
Minatitlan 	MNTV 	Orthobunyavirus 	2	S 	Minatitlan 	No
Minnal 	MINV 	Orbivirus 	2	S 	Umatilla 	No
Mirim 	MIRV 	Orthobunyavirus 	2	S 	Guama 	No
Mitchell River 	MRV 	Orbivirus 	2	S 		No
Mobala 	MOBV 	Arenavirus 	3	A7 	Tacaribe 	No
Modoc 	MODV 	Flavivirus 	2	S 	B^f 	No
Moju 	MOJUV 	Orthobunyavirus 	2	S 	Guama 	No
Mojui Dos Campos 	MDCV 	Orthobunyavirus 	2	IE 		No
Mono Lake 	MLV 	Orbivirus 	2	S 	Kemerovo 	No
Mont. Myotis Leukemia 	MMLV 	Flavivirus 	2	S 	B^f 	No
Monte Dourado 	MDOV 	Orbivirus 	2	IE 	Changuinola 	No
Mopeia 	MOPV 	Arenavirus 	3	A7 		No
Moriche 	MORV 	Orthobunyavirus 	2	S 	Capim 	No
Morro Bay 	MBV 	Orthobunyavrius 	2	IE 	California 	No
Morumbi 	MRMBV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Mosqueiro 	MQOV 	Rhabdoviridae 	2	A7 	Hart Park 	No
Mossuril 	MOSV 	Rhabdoviridae 	2	S 	Hart Park 	No
Mount Elgon Bat 	MEBV 	Vesiculovirus 	2	S 	Vesicular Stomatitis	No
M’Poko 	MPOV 	Orthobunyavirus 	2	S 	Turlock 	No
Mucambo 	MUCV 	Alphavirus 	3	S 	A^f 	Yes
Mucura 	MCRV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Munguba 	MUNV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Murray Valley Encephalitis 	MVEV 	Flavivirus 	3	S 	B^f 	No
Murutucu 	MURV 	Orthobunyavirus 	2	S 	C^f 	No
Mykines 	MYKV 	Orbivirus 	2	A7 	Kemerovo 	No
Nairobi Sheep Disease 	NSDV 	Nairovirus 	3^c 	A1 	Nairobi Sheep Disease 	No
Naranjal 	NJLV 	Flavivirus 	2	IE 	B^f 	No
Nariva 	NARV 	Paramyxoviridae 	2	IE 		No
Nasoule 	NASV 	Lyssavirus 	2	A7 	Rab 	No
Navarro 	NAVV 	Rhabdoviridae 	2	S 		No
Ndelle 	NDEV 	Orthoreovirus 	2	A7 	Ndelle 	No
Ndumu 	NDUV 	Alphavirus 	2	A1 	A^f 	No
Negishi 	NEGV 	Flavivirus 	3	S 	B^f 	No
Nepuyo 	NEPV 	Orthobunyavirus 	2	S 	C^f 	No
Netivot 	NETV 	Orbivirus 	2	A7 		No
New Minto 	NMV 	Rhabdoviridae 	2	IE 	Sawgrass 	No
Ngaingan 	NGAV 	Lyssavirus 	2	S 	Tibrogargan 	No
Ngari d 	NRIV 	Orthobunyavirus 	3	A7 	Bunyamera 	No
Ngoupe 	NGOV 	Orbivirus 	2	A7 	Eubenangee 	No
Nique 	NIQV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Nkolbisson 	NKOV 	Rhabdoviridae 	2	S 	Kern Canyon 	No
Nodamura 	NOV 	Alphanodavirus 	2	IE 		No
Nola 	NOLAV 	Orthobunyavirus 	2	S 	Bakau 	No
Northway 	NORV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Ntaya 	NTAV 	Flavivirus 	2	S 	B^f 	No
Nugget 	NUGV 	Orbivirus 	2	S 	Kemerovo 	No
Nyamanini 	NYMV 	Unassigned 	2	S 	Nyamanini 	No
Nyando 	NDV 	Orthobunyavirus 	2	S 	Nyando 	No
Oak Vale 	OVV 	Rhabdoviridae 	2	A7 		No
Odrenisrou 	ODRV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Okhotskiy 	OKHV 	Orbivirus 	2	S 	Kemerovo 	No
Okola 	OKOV 	Bunyaviridae 	2	S 	Tanga 	No
Olifantsvlei 	OLIV 	Orthobunyavirus 	2	S 	Olifantsylei 	No
Omo 	OMOV 	Nairovirus 	2	A7 	Qalyub 	No
Omsk Hemorrhagic 	OHFV 	Flavivirus 	4	S 	B^f 	Yes
O’Nyong-Nyong 	ONNV 	Alphavirus 	2	S 	A^f 	Yes
Oran 	ORANV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Oriboca 	ORIV 	Orthobunyavirus 	2	S 	C^f 	No
Oriximina 	ORXV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Oropouche 	OROV 	Orthobunyavirus 	3	S 	Simbu 	Yes
Orungo 	ORUV 	Orbivirus 	2	S 	Orungo 	No
Ossa 	OSSAV 	Orthobunyavirus 	2	S 	C^f 	No
Ouango 	OUAV 	Rhabdoviridae 	2	IE 		No
Oubangui 	OUBV 	Poxviridae 	2	IE 		No
Oubi 	OUBIV 	Orthobunyavirus 	2	A7 	Olifantsylei 	No
Ourem 	OURV 	Orbivirus 	2	IE 	Changuinola 	No
Pacora 	PCAV 	Bunyaviridae 	2	S 		No
Pacui 	PACV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Pahayokee 	PAHV 	Orthobunyavirus 	2	S 	Patois 	No
Palma 	PMAV 	Bunyaviridae 	2	IE 	Bhanja 	No
Palestina 	PLSV 	Orthobunyavirus 	2	IE 	Minatitlan 	No
Palyam 	PALV 	Orbivirus 	2	S 	Palyam 	No
Para 	PARAV 	Orthobunyavirus 	2	IE 	Simbu 	No
Paramushir 	PMRV 	Nairovirus 	2	IE 	Sakhalin 	No
Parana 	PARV 	Arenavirus 	2	A5 	Tacaribe 	No
Paroo River 	PRV 	Orbivirus 	2	IE 		No
Pata 	PATAV 	Orbivirus 	2	S 		No
Pathum Thani 	PTHV 	Nairovirus 	2	S 	Dera Ghazi Khan 	No
Patois 	PATV 	Orthobunyavirus 	2	S 	Patois 	No
Peaton 	PEAV 	Orthobunyavirus 	2	A1 	Simbu 	No
Pergamino 	PRGV 	Hantavirus 	3^a 	IE 		No
Perinet 	PERV 	Vesiculovirus 	2	A7 	Vesicular Stomatitis 	No
Petevo 	PETV 	Orbivirus 	2	A7 	Palyam 	No
Phnom-Penh Bat 	PPBV 	Flavivirus 	2	S 	B^f 	No
Pichinde 	PICV 	Arenavirus 	2	A5 	Tacaribe 	No
Picola 	PIAV 	Orbivirus 	2	IE 	Wongorr 	No
Pirital 	PIRV 	Arenavirus 	3	IE 		No
Piry 	PIRYV 	Vesiculovirus 	3	S 	Vesicular Stomatitis	No
Pixuna 	PIXV 	Alphavirus 	2	S 	A^f 	No
Playas 	PLAV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Pongola 	PGAV 	Orthobunyavirus 	2	S 	Bwamba 	No
Ponteves 	PTVV 	Phlebovirus 	2	A7 	Uukuniemi 	No
Potosi 	POTV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Powassan 	POWV 	Flavivirus 	3	S 	B^f 	No
Precarious Point 	PPV 	Phlebovirus 	2	A7 	Uukuniemi 	No
Pretoria 	PREV 	Nairovirus 	2	S 	Dera Ghazi Khan 	No
Prospect Hill 	PHV 	Hantavirus 	2	A8 	Hantaan 	No
Puchong 	PUCV 	Lyssavirus 	2	S 	Bovine Ephemeral Fever	No
Pueblo Viejo 	PVV 	Orthobunyavirus 	2	IE 	Gamboa 	No
Punta Salinas 	PSV 	Nairovirus 	2	S 	Hughes 	No
Punta Toro 	PTV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Purus 	PURV 	Orbivirus 	2	IE 	Changuinola 	No
Puumala 	PUUV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Qalyub 	QYBV 	Nairovirus 	2	S 	Qalyub 	No
Quaranfil 	QRFV 	Unassigned 	2	S 	Quaranfil 	No
Radi 	RADIV 	Vesiculovirus 	2	A7 	Vesicular Stomatitis	No
Razdan 	RAZV 	Bunyaviridae 	2	IE 		No
Resistencia 	RTAV 	Bunyaviridae 	2	IE 	Resistencia 	No
Restan 	RESV 	Orthobunyavirus 	2	S 	C^f 	No
Rhode Island 	RHIV 	Rhabdoviridae 	2	A7 		No
Rift Valley Fever 	RVFV 	Phlebovirus 	3^c 	S 	Phlebotomus Fever	Yes
Rio Bravo 	RBV 	Flavivirus 	2	S 	B^f 	No
Rio Grande 	RGV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Rio Preto 	RIOPV 	Unassigned 	2	IE 		No
Rochambeau 	RBUV 	Lyssavirus 	2	IE 	Rab 	No
Rocio 	ROCV 	Flavivirus 	3	S 	B^f 	Yes
Ross River 	RRV 	Alphavirus 	2	S 	A^f 	No
Royal Farm 	RFV 	Flavivirus 	2	S 	B^f 	No
Russian Spring-Summer Encephalitis	RSSEV 	Flavivirus 	4	S 	B^f 	Yes
Saaremaa 	SAAV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Sabia 	SABV 	Arenavirus 	4	A4 		Yes
Sabo 	SABOV 	Orthobunyavirus 	2	S 	Simbu 	No
Saboya 	SABV 	Flavivirus 	2	S 	B^f 	No
Sagiyama 	SAGV 	Alphavirus 	2	A1 	A^f 	No
Saint-Floris 	SAFV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Sakhalin 	SAKV 	Nairovirus 	2	S 	Sakhalin 	No
Salanga 	SGAV 	Poxviridae 	2	IE 	SGA 	No
Salehabad 	SALV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Salmon River 	SAVV 	Coltivirus 	2	IE 	Colorado TickFever 	No
Sal Vieja 	SVV 	Flavivirus 	2	A7 	B^f 	No
San Angelo 	SAV 	Orthobunyavirus 	2	S 	California 	No
Sandfly Fever, Naples 	SFNV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Sandfly Fever, Sicilian 	SFSV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Sandjimba 	SJAV 	Lyssavirus 	2	S 	Rab 	No
Sango 	SANV 	Orthobunyavirus 	2	S 	Simbu 	No
San Juan 	SJV 	Orthobunyavirus 	2	IE 	Gamboa 	No
San Perlita 	SPV 	Flavivirus 	2	A7 	B^f 	No
Santarem 	STMV 	Bunyaviridae 	2	IE 		No
Santa Rosa 	SARV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Saraca 	SRAV 	Orbivirus 	2	IE 	Changuinola 	No
Sathuperi 	SATV 	Orthobunyavirus 	2	S 	Simbu 	No
Saumarez Reef 	SREV 	Flavivirus 	2	IE 	B^f 	No
Sawgrass 	SAWV 	Rhabdoviridae 	2	S 	Sawgrass 	No
Sebokele 	SEBV 	Unassigned 	2	S 		No
Sedlec 	SEDV 	Bunyaviridae 	2	A7 		No
Seletar 	SELV 	Orbivirus 	2	S 	Kemerovo 	No
Sembalam 	SEMV 	Unassigned 	2	S 		No
Semliki Forest 	SFV 	Alphavirus 	3	A2 	A^f 	No
Sena Madureira 	SMV 	Rhabdoviridae 	2	IE 	Timbo 	No
Seoul 	SEOV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Sepik 	SEPV 	Flavivirus 	2	IE 	B^f 	No
Serra Do Navio 	SDNV 	Orthobunyavirus 	2	A7 	California 	No
Serra Norte 	SRNV 	Phlebovirus 	2	A7 		No
Shamonda 	SHAV 	Orthobunyavirus 	2	S 	Simbu 	No
Shark River 	SRV 	Orthobunyavirus 	2	S 	Patois 	No
Shokwe 	SHOV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Shuni 	SHUV 	Orthobunyavirus 	2	S 	Simbu 	No
Silverwater 	SILV 	Bunyaviridae 	2	S 	Kaisodi 	No
Simbu 	SIMV 	Orthobunyavirus 	2	S 	Simbu 	No
Simian Hemorrhagic Fever 	SHFV 	Arterivirus 	2	A2 	Simian Hemorrhagic Fever 	No
Sindbis 	SINV 	Alphavirus 	2	S 	A^f 	No
Sin Nombre 	SNV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Sixgun City 	SCV 	Orbivirus 	2	S 	Kemerovo 	No
Slovakia 	SLOV 	Unassigned 	3	IE 		No
Snowshoe Hare 	SSHV 	Orthobunyavirus 	2	S 	California 	No
Sokoluk 	SOKV 	Flavivirus 	2	S 	B^f 	No
Soldado 	SOLV 	Nairovirus 	2	S 	Hughes 	No
Somone 	SOMV 	Unassigned 	3	IE 	Somone 	No
Sororoca 	SORV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Spondweni 	SPOV 	Flavivirus 	2	S 	B^f 	No
Sripur 	SRIV 	Rhabdoviridae 	3	IE 		No
St. Louis Encephalitis 	SLEV 	Flavivirus 	3	S 	B^f 	No
Stratford 	STRV 	Flavivirus 	2	S 	B^f 	No
Sunday Canyon 	SCAV 	Bunyaviridae 	2	S 		No
Tacaiuma 	TCMV 	Orthobunyavirus 	2	S 	Anopheles A 	No
Tacaribe 	TCRV 	Arenavirus 	2	A5 	Tacaribe 	No
Taggert 	TAGV 	Nairovirus 	2	S 	Sakhalin 	No
Tahyna 	TAHV 	Orthobunyavirus 	2	S 	California 	No
Tai 	TAIV 	Bunyaviridae 	2	A7 	Bunyamwera 	No
Tamdy 	TDYV 	Bunyaviridae 	2	IE 		No
Tamiami 	TAMV 	Arenavirus 	2	A5 	Tacaribe 	No
Tanga 	TANV 	Bunyaviridae 	2	S 	Tanga 	No
Tanjong Rabok 	TRV 	Orthobunyavirus 	2	S 	Bakau 	No
Tapara 	TAPV 	Phlebovirus 	2	A7 		No
Tataguine 	TATV 	Bunyaviridae 	2	S 		No
Tehran 	THEV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Telok Forest 	TFV 	Orthobunyavirus 	2	IE 	Bakau 	No
Tembe 	TMEV 	Orbivirus b 	2	S 		No
Tembusu 	TMUV 	Flavivirus 	2	S 	B^f 	No
Tensaw 	TENV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Termeil 	TERV 	Bunyavirus b 	2	IE 		No
Tete 	TETEV 	Orthobunyavirus 	2	S 	Tete 	No
Thiafora 	TFAV 	Bunyaviridae 	2	A7 	Thiafora 	No
Thimiri 	THIV 	Orthobunyavirus 	2	S 	Simbu 	No
Thogoto 	THOV 	Orthomyxoviridae 	2	S 	Thogoto 	No
Thottapalayam 	TPMV 	Hantavirus 	2	S 	Hantaan 	No
Tibrogargan 	TIBV 	Lyssavirus 	2	S 	Tibrogargan 	No
Tilligerry 	TILV 	Orbivirus 	2	IE 	Eubenangee 	No
Timbo 	TIMV 	Rhabdoviridae 	2	S 	Timbo 	No
Timboteua 	TBTV 	Orthobunyavirus 	2	A7 	Guama 	No
Tinaroo 	TINV 	Orthobunyavirus 	2	IE 	Simbu 	No
Tindholmur 	TDMV 	Orbivirus 	2	A7 	Kemerovo 	No
Tlacotalpan 	TLAV 	Orthobunyavirus 	2	IE 	Bunyamwera 	No
Tonate 	TONV 	Alphavirus 	3	IE 	A^f 	Yes
Topografov 	TOPV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Toscana 	TOSV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Toure 	TOUV 	Unassigned 	2	S 		No
Tracambe 	TRCV 	Orbivirus 	2	A7 		No
Tribec 	TRBV 	Orbivirus 	2	S 	Kemerovo 	No
Triniti 	TNTV 	Togaviridae 	2	S 		No
Trivittatus 	TVTV 	Orthobunyavirus 	2	S 	California 	No
Trocara 	TROCV 	Alphavirus 	2	IE 	A^f 	No
Trombetas 	TRMV 	Orthobunyavirus 	2	A7 		No
Trubanaman 	TRUV 	Bunyaviridae 	2	S 	Mapputta 	No
Tsuruse 	TSUV 	Orthobunyavirus 	2	S 	Tete 	No
Tucurui 	TUCRV 	Orthobunyavirus 	2	A7 		No
Tula 	TULV 	Hantavirus 	2	A8 		No
Tunis 	TUNV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Turlock 	TURV 	Orthobunyavirus 	2	S 	Turlock 	No
Turuna 	TUAV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Tyuleniy 	TYUV 	Flavivirus 	2	S 	B^f 	No
Uganda S 	UGSV 	Flavivirus 	2	S 	B^f 	No
Umatilla 	UMAV 	Orbivirus 	2	S 	Umatilla 	No
Umbre 	UMBV 	Orthobunyavirus 	2	S 	Turlock 	No
Una 	UNAV 	Alphavirus 	2	S 	A^f 	No
Upolu 	UPOV 	Bunyaviridae 	2	S 	Upolu 	No
Uriurana 	UURV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Urucuri 	URUV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Usutu 	USUV 	Flavivirus 	2	S 	B^f 	No
Utinga 	UTIV 	Orthobunyavirus 	2	IE 	Simbu 	No
Uukuniemi 	UUKV 	Phlebovirus 	2	S 	Uukuniemi 	No
Vellore 	VELV 	Orbivirus 	2	S 	Palyam 	No
Venezuelan Equine Encephalitis	VEEV 	Alphavirus 	3^c 	S 	A^f 	Yes
Venkatapuram 	VKTV 	Unassigned 	2	S 		No
Vinces 	VINV 	Orthobunyavirus 	2	A7 	C^f 	No
Virgin River 	VRV 	Orthobunyavirus 	2	A7 	Anopheles A 	No
Vesicular Stomatitis-Alagoas 	VSAV 	Vesiculovirus 	2^c 	S 	Vesicular Stomatitis	No
Vesicular Stomatitis-Indiana 	VSIV 	Vesiculovirus 	2^c 	A3 	Vesicular Stomatitis	No
Vesicular Stomatitis-New Jersey	VSNJV 	Vesiculovirus 	2^c 	A3 	Vesicular Stomatitis	No
Wad Medani 	WMV 	Orbivirus 	2	S 	Kemerovo 	No
Wallal 	WALV 	Orbivirus 	2	S 	Wallal 	No
Wanowrie 	WANV 	Bunyaviridae 	2	S 		No
Warrego 	WARV 	Orbivirus 	2	S 	Warrego 	No
Wesselsbron 	WESSV 	Flavivirus 	3^c 	S 	B^f 	Yes
Western Equine Encephalitis 	WEEV 	Alphavirus 	3	S 	A^f 	No
West Nile 	WNV 	Flavivirus 	3	S 	B^f 	No
Whataroa 	WHAV 	Alphavirus 	2	S 	A^f 	No
Whitewater Arroyo 	WWAV 	Arenavirus 	3	IE 	Tacaribe 	No
Witwatersrand 	WITV 	Bunyaviridae 	2	S 		No
Wongal 	WONV 	Orthobunyavirus 	2	S 	Koongol 	No
Wongorr 	WGRV 	Orbivirus 	2	S 	Wongorr 	No
Wyeomyia 	WYOV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Xiburema 	XIBV 	Rhabdoviridae 	2	IE 		No
Xingu 	XINV 	Orthobunyavirus 	3			No
Yacaaba 	YACV 	Bunyaviridae 	2	IE 		No
Yaounde 	YAOV 	Flavivirus 	2	A7 	B^f 	No
Yaquina Head 	YHV 	Orbivirus 	2	S 	Kemerovo 	No
Yata 	YATAV 	Rhabdoviridae 	2	S 		No
Yellow Fever 	YFV 	Flavivirus 	3	S 	B^f 	Yes
Yogue 	YOGV 	Bunyaviridae 	2	S 	Yogue 	No
Yoka 	YOKA 	Poxviridae 	2	IE 		No
Yug Bogdanovac 	YBV 	Vesiculovirus 	2	IE 	Vesicular Stomatitis	No
Zaliv Terpeniya 	ZTV 	Phlebovirus 	2	S 	Uukuniemi 	No
Zegla 	ZEGV 	Orthobunyavirus 	2	S 	Patois 	No
Zika 	ZIKV 	Flavivirus 	2	S 	B^f 	No
Zirqa 	ZIRV 	Nairovirus 	2	S 	Hughes 	No
